commodity,measure,year,price,citation,citation_date
best wheat,quarteranche,1568,11.67,"B 205, f.95v",17/12/68
good wheat,quarteranche,1568,10,"B 205, f.95v",17/12/68
mixed grain,quarteranche,1568,8.33,"B 205, f.95v",17/12/68
rye,quarteranche,1568,6.67,"B 205, f.95v",17/12/68
barley,boisseau,1568,4.17,"B 205, f.95v",17/12/68
oats,boisseau,1568,3,"B 205, f.95v",17/12/68
hempseed,boisseau,1568,6,"B 205, f.95v",17/12/68
peas,boisseau,1568,11.67,"B 205, f.95v",17/12/68
beans,boisseau,1568,11.67,"B 205, f.95v",17/12/68
Dijon best wine,queue,1568,280,"B 205, f.95v",17/12/68
village best wine,queue,1568,260,"B 205, f.95v",17/12/68
village good wine,queue,1568,200,"B 205, f.95v",17/12/68
best wheat,quarteranche,1569,13.33,"B 206, f.126",10/2/70
good wheat,quarteranche,1569,10.83,"B 206, f.126",10/2/70
mixed grain,quarteranche,1569,8.33,"B 206, f.126",10/2/70
barley,boisseau,1569,6.67,"B 206, f.126",10/2/70
oats,boisseau,1569,4.17,"B 206, f.126",10/2/70
peas,boisseau,1569,13.33,"B 206, f.126",10/2/70
beans,boisseau,1569,11.67,"B 206, f.126",10/2/70
Dijon best wine,queue,1569,440,"B 206, f.126",10/2/70
village best wine,queue,1569,360,"B 206, f.126",10/2/70
village good wine,queue,1569,360,"B 206, f.126",10/2/70
best wheat,quarteranche,1570,25,"B 207, f. 116",19/12/70
good wheat,quarteranche,1570,22,"B 207, f. 116",19/12/70
mixed grain,quarteranche,1570,18.33,"B 207, f. 116",19/12/70
rye,quarteranche,1570,14.33,"B 207, f. 116",19/12/70
barley,boisseau,1570,10,"B 207, f. 116",19/12/70
oats,boisseau,1570,5,"B 207, f. 116",19/12/70
hempseed,boisseau,1570,16.67,"B 207, f. 116",19/12/70
peas,boisseau,1570,18.33,"B 207, f. 116",19/12/70
beans,boisseau,1570,18.33,"B 207, f. 116",19/12/70
lentils,boisseau,1570,12,"B 207, f. 116",19/12/70
rapeseed,boisseau,1570,22.08,"B 207, f. 116",19/12/70
Dijon best wine,queue,1570,240,"B 207, f. 116",19/12/70
village best wine,queue,1570,120,"B 207, f. 116",19/12/70
village good wine,queue,1570,120,"B 207, f. 116",19/12/70
walnut oil,pint,1570,10,"B 207, f. 116",19/12/70
rapeseed oil,pint,1570,12.08,"B 207, f. 116",19/12/70
hempseed oil,pint,1570,11.67,"B 207, f. 116",19/12/70
best wheat,quarteranche,1571,25,"B 209, f.122",16/2/72
good wheat,quarteranche,1571,20,"B 209, f.122",16/2/72
mixed grain,quarteranche,1571,18,"B 209, f.122",16/2/72
rye,quarteranche,1571,14,"B 209, f.122",16/2/72
barley,boisseau,1571,9.5,"B 209, f.122",16/2/72
oats,boisseau,1571,5,"B 209, f.122",16/2/72
hempseed,boisseau,1571,15,"B 209, f.122",16/2/72
peas,boisseau,1571,17,"B 209, f.122",16/2/72
beans,boisseau,1571,7,"B 209, f.122",16/2/72
lentils,boisseau,1571,12,"B 209, f.122",16/2/72
rapeseed,boisseau,1571,22,"B 209, f.122",16/2/72
Dijon best wine,queue,1571,560,"B 209, f.122",16/2/72
village best wine,queue,1571,460,"B 209, f.122",16/2/72
village good wine,queue,1571,380,"B 209, f.122",16/2/72
walnut oil,pint,1571,9,"B 209, f.122",16/2/72
rapeseed oil,pint,1571,10,"B 209, f.122",16/2/72
hempseed oil,pint,1571,9,"B 209, f.122",16/2/72
best wheat,quarteranche,1572,30,"B 210, f.132",27/2/73
good wheat,quarteranche,1572,27.08,"B 210, f.132",27/2/73
mixed grain,quarteranche,1572,25,"B 210, f.132",27/2/73
rye,quarteranche,1572,22.5,"B 210, f.132",27/2/73
barley,boisseau,1572,16.67,"B 210, f.132",27/2/73
oats,boisseau,1572,8.33,"B 210, f.132",27/2/73
hempseed,boisseau,1572,11.67,"B 210, f.132",27/2/73
peas,boisseau,1572,27.67,"B 210, f.132",27/2/73
beans,boisseau,1572,26.67,"B 210, f.132",27/2/73
lentils,boisseau,1572,23.33,"B 210, f.132",27/2/73
rapeseed,boisseau,1572,27.67,"B 210, f.132",27/2/73
Dijon best wine,queue,1572,600,"B 210, f.132",27/2/73
village best wine,queue,1572,440,"B 210, f.132",27/2/73
village good wine,queue,1572,400,"B 210, f.132",27/2/73
walnut oil,pint,1572,9.5,"B 210, f.132",27/2/73
rapeseed oil,pint,1572,9.6,"B 210, f.132",27/2/73
hempseed oil,pint,1572,8.33,"B 210, f.132",27/2/73
best wheat,quarteranche,1573,36.67,"B 211, f.83v",17/11/73
good wheat,quarteranche,1573,30,"B 211, f.83v",17/11/73
mixed grain,quarteranche,1573,25,"B 211, f.83v",17/11/73
rye,quarteranche,1573,21.67,"B 211, f.83v",17/11/73
barley,boisseau,1573,16.67,"B 211, f.83v",17/11/73
oats,boisseau,1573,7.5,"B 211, f.83v",17/11/73
peas,boisseau,1573,30,"B 211, f.83v",17/11/73
beans,boisseau,1573,30,"B 211, f.83v",17/11/73
Dijon best wine,queue,1573,1200,"B 211, f.83v",17/11/73
village best wine,queue,1573,800,"B 211, f.83v",17/11/73
village good wine,queue,1573,800,"B 211, f.83v",17/11/73
best wheat,quarteranche,1574,30,"B212, f.110v",26/11/74
good wheat,quarteranche,1574,25,"B212, f.110v",26/11/74
mixed grain,quarteranche,1574,20,"B212, f.110v",26/11/74
rye,quarteranche,1574,16.67,"B212, f.110v",26/11/74
barley,boisseau,1574,11.67,"B212, f.110v",26/11/74
oats,boisseau,1574,5,"B212, f.110v",26/11/74
hempseed,boisseau,1574,16.67,"B212, f.110v",26/11/74
peas,boisseau,1574,25,"B212, f.110v",26/11/74
beans,boisseau,1574,20,"B212, f.110v",26/11/74
lentils,boisseau,1574,16.67,"B212, f.110v",26/11/74
rapeseed,boisseau,1574,30,"B212, f.110v",26/11/74
Dijon best wine,queue,1574,800,"B212, f.110v",26/11/74
village best wine,queue,1574,600,"B212, f.110v",26/11/74
village good wine,queue,1574,600,"B212, f.110v",26/11/74
walnut oil,pint,1574,12.5,"B212, f.110v",26/11/74
rapeseed oil,pint,1574,12.5,"B212, f.110v",26/11/74
hempseed oil,pint,1574,11.67,"B212, f.110v",26/11/74
best wheat,quarteranche,1575,15,"B213, f.94",25/11/75
good wheat,quarteranche,1575,12.5,"B213, f.94",25/11/75
mixed grain,quarteranche,1575,10,"B213, f.94",25/11/75
rye,quarteranche,1575,8.33,"B213, f.94",25/11/75
barley,boisseau,1575,8.5,"B213, f.94",25/11/75
oats,boisseau,1575,5,"B213, f.94",25/11/75
hempseed,boisseau,1575,18.33,"B213, f.94",25/11/75
peas,boisseau,1575,14.19,"B213, f.94",25/11/75
beans,boisseau,1575,13.33,"B213, f.94",25/11/75
rapeseed,boisseau,1575,25,"B213, f.94",25/11/75
Dijon best wine,queue,1575,320,"B213, f.94",25/11/75
village best wine,queue,1575,240,"B213, f.94",25/11/75
village good wine,queue,1575,240,"B213, f.94",25/11/75
walnut oil,pint,1575,11.67,"B213, f.94",25/11/75
rapeseed oil,pint,1575,11.67,"B213, f.94",25/11/75
hempseed oil,pint,1575,10,"B213, f.94",25/11/75
wax,pound,1575,11.67,"B213, f.94",25/11/75
best wheat,quarteranche,1576,25.83,"B208, f.121",29/11/76
good wheat,quarteranche,1576,16.67,"B208, f.121",29/11/76
mixed grain,quarteranche,1576,12.5,"B208, f.121",29/11/76
rye,quarteranche,1576,8.33,"B208, f.121",29/11/76
barley,boisseau,1576,6,"B208, f.121",29/11/76
oats,boisseau,1576,5,"B208, f.121",29/11/76
hempseed,boisseau,1576,15,"B208, f.121",29/11/76
peas,boisseau,1576,15,"B208, f.121",29/11/76
beans,boisseau,1576,15,"B208, f.121",29/11/76
rapeseed,boisseau,1576,15,"B208, f.121",29/11/76
Dijon best wine,queue,1576,700,"B208, f.121",29/11/76
village best wine,queue,1576,500,"B208, f.121",29/11/76
village good wine,queue,1576,400,"B208, f.121",29/11/76
walnut oil,pint,1576,13.33,"B208, f.121",29/11/76
rapeseed oil,pint,1576,13.33,"B208, f.121",29/11/76
hempseed oil,pint,1576,13.33,"B208, f.121",29/11/76
wax,pound,1576,12,"B208, f.121",29/11/76
best wheat,quarteranche,1577,16.67,"B214, f.99v",3/12/77
good wheat,quarteranche,1577,14.16,"B214, f.99v",3/12/77
mixed grain,quarteranche,1577,11.67,"B214, f.99v",3/12/77
rye,quarteranche,1577,9.17,"B214, f.99v",3/12/77
barley,boisseau,1577,5,"B214, f.99v",3/12/77
oats,boisseau,1577,4.16,"B214, f.99v",3/12/77
hempseed,boisseau,1577,11.67,"B214, f.99v",3/12/77
peas,boisseau,1577,10.83,"B214, f.99v",3/12/77
beans,boisseau,1577,10,"B214, f.99v",3/12/77
rapeseed,boisseau,1577,13.33,"B214, f.99v",3/12/77
Dijon best wine,queue,1577,600,"B214, f.99v",3/12/77
village best wine,queue,1577,500,"B214, f.99v",3/12/77
village good wine,queue,1577,500,"B214, f.99v",3/12/77
walnut oil,pint,1577,6.67,"B214, f.99v",3/12/77
rapeseed oil,pint,1577,8.33,"B214, f.99v",3/12/77
hempseed oil,pint,1577,8.33,"B214, f.99v",3/12/77
wax,pound,1577,12,"B214, f.99v",3/12/77
best wheat,quarteranche,1578,15,"B216, f.75",5/12/78
good wheat,quarteranche,1578,13.33,"B216, f.75",5/12/78
mixed grain,quarteranche,1578,11.67,"B216, f.75",5/12/78
rye,quarteranche,1578,8.33,"B216, f.75",5/12/78
barley,boisseau,1578,7.08,"B216, f.75",5/12/78
oats,boisseau,1578,6.67,"B216, f.75",5/12/78
peas,boisseau,1578,15,"B216, f.75",5/12/78
beans,boisseau,1578,12.5,"B216, f.75",5/12/78
rapeseed,boisseau,1578,30,"B216, f.75",5/12/78
Dijon best wine,queue,1578,480,"B216, f.75",5/12/78
village best wine,queue,1578,360,"B216, f.75",5/12/78
village good wine,queue,1578,280,"B216, f.75",5/12/78
walnut oil,pint,1578,9.16,"B216, f.75",5/12/78
rapeseed oil,pint,1578,10.83,"B216, f.75",5/12/78
wax,pound,1578,11.67,"B216, f.75",5/12/78
chickpeas,boisseau,1578,10.83,"B216, f.75",5/12/78
best wheat,quarteranche,1579,21,"B215, f.212v",1/12/79
good wheat,quarteranche,1579,18,"B215, f.212v",1/12/79
mixed grain,quarteranche,1579,15,"B215, f.212v",1/12/79
rye,quarteranche,1579,11.67,"B215, f.212v",1/12/79
barley,boisseau,1579,7.5,"B215, f.212v",1/12/79
oats,boisseau,1579,5,"B215, f.212v",1/12/79
hempseed,boisseau,1579,11.67,"B215, f.212v",1/12/79
